Trial,State,Leakage_Objective_Minimize,Endurance_Objective_Maximize,RF_Power,Process_Time,RTA_Temperature,Has_RTA,Constraint_OnOff_g1,Constraint_Voltage_g2,Is_Feasible,Penalty_Applied,Leakage_Current_A_Mean,Leakage_Current_A_Std,Leakage_Current_A_CI95_Low,Leakage_Current_A_CI95_High,Endurance_Cycles_Mean,Endurance_Cycles_Std,Endurance_Cycles_CI95_Low,Endurance_Cycles_CI95_High,On_Off_Ratio_Mean,On_Off_Ratio_Std,On_Off_Ratio_CI95_Low,On_Off_Ratio_CI95_High,Operation_Voltage_V_Mean,Operation_Voltage_V_Std,Operation_Voltage_V_CI95_Low,Operation_Voltage_V_CI95_High
0,TrialState.COMPLETE,3.48139617348689e-05,34.336176383321366,50.0,120.0,25.0,0.0,-0.05529674096303694,-2.8732425063971676,True,False,3.48139617348689e-05,0.00019475917582341192,1.5842460402585299e-06,0.0007650402152680333,34.336176383321366,7.326992869277178,22.781996110390175,51.50380815795671,5.055296740963037,124.34238386963226,0.05242535037865712,487.4745701193371,0.1267574936028326,0.07586495822805092,-0.02193782452414722,0.2754528117298124
2,TrialState.COMPLETE,3.48139617348689e-05,34.336176383321366,50.0,120.0,25.0,0.0,-0.05529674096303694,-2.8732425063971676,True,False,3.48139617348689e-05,0.00019475917582341192,1.5842460402585299e-06,0.0007650402152680333,34.336176383321366,7.326992869277178,22.781996110390175,51.50380815795671,5.055296740963037,124.34238386963226,0.05242535037865712,487.4745701193371,0.1267574936028326,0.07586495822805092,-0.02193782452414722,0.2754528117298124
32,TrialState.COMPLETE,3.48139617348689e-05,34.336176383321366,50.0,120.0,25.0,0.0,-0.05529674096303694,-2.8732425063971676,True,False,3.48139617348689e-05,0.00019475917582341192,1.5842460402585299e-06,0.0007650402152680333,34.336176383321366,7.326992869277178,22.781996110390175,51.50380815795671,5.055296740963037,124.34238386963226,0.05242535037865712,487.4745701193371,0.1267574936028326,0.07586495822805092,-0.02193782452414722,0.2754528117298124
51,TrialState.COMPLETE,3.48139617348689e-05,34.336176383321366,50.0,120.0,25.0,0.0,-0.05529674096303694,-2.8732425063971676,True,False,3.48139617348689e-05,0.00019475917582341192,1.5842460402585299e-06,0.0007650402152680333,34.336176383321366,7.326992869277178,22.781996110390175,51.50380815795671,5.055296740963037,124.34238386963226,0.05242535037865712,487.4745701193371,0.1267574936028326,0.07586495822805092,-0.02193782452414722,0.2754528117298124
58,TrialState.COMPLETE,3.48139617348689e-05,34.336176383321366,50.0,120.0,25.0,0.0,-0.05529674096303694,-2.8732425063971676,True,False,3.48139617348689e-05,0.00019475917582341192,1.5842460402585299e-06,0.0007650402152680333,34.336176383321366,7.326992869277178,22.781996110390175,51.50380815795671,5.055296740963037,124.34238386963226,0.05242535037865712,487.4745701193371,0.1267574936028326,0.07586495822805092,-0.02193782452414722,0.2754528117298124
71,TrialState.COMPLETE,3.48139617348689e-05,34.336176383321366,50.0,120.0,25.0,0.0,-0.05529674096303694,-2.8732425063971676,True,False,3.48139617348689e-05,0.00019475917582341192,1.5842460402585299e-06,0.0007650402152680333,34.336176383321366,7.326992869277178,22.781996110390175,51.50380815795671,5.055296740963037,124.34238386963226,0.05242535037865712,487.4745701193371,0.1267574936028326,0.07586495822805092,-0.02193782452414722,0.2754528117298124
81,TrialState.COMPLETE,3.48139617348689e-05,34.336176383321366,50.0,120.0,25.0,0.0,-0.05529674096303694,-2.8732425063971676,True,False,3.48139617348689e-05,0.00019475917582341192,1.5842460402585299e-06,0.0007650402152680333,34.336176383321366,7.326992869277178,22.781996110390175,51.50380815795671,5.055296740963037,124.34238386963226,0.05242535037865712,487.4745701193371,0.1267574936028326,0.07586495822805092,-0.02193782452414722,0.2754528117298124
28,TrialState.COMPLETE,4.1838167006867504e-05,46.38460066289589,50.0,60.0,500.0,1.0,-12.89089835652441,-2.826825071109921,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,46.38460066289589,9.82791442335093,30.887580632325886,69.41300517186153,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.17317492889007896,0.07076594860970013,0.034473669615066704,0.3118761881650912
29,TrialState.COMPLETE,4.1838167006867504e-05,46.38460066289589,50.0,60.0,500.0,1.0,-12.89089835652441,-2.826825071109921,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,46.38460066289589,9.82791442335093,30.887580632325886,69.41300517186153,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.17317492889007896,0.07076594860970013,0.034473669615066704,0.3118761881650912
30,TrialState.COMPLETE,4.1838167006867504e-05,46.38460066289589,50.0,60.0,500.0,1.0,-12.89089835652441,-2.826825071109921,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,46.38460066289589,9.82791442335093,30.887580632325886,69.41300517186153,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.17317492889007896,0.07076594860970013,0.034473669615066704,0.3118761881650912
41,TrialState.COMPLETE,4.1838167006867504e-05,46.38460066289589,50.0,60.0,500.0,1.0,-12.89089835652441,-2.826825071109921,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,46.38460066289589,9.82791442335093,30.887580632325886,69.41300517186153,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.17317492889007896,0.07076594860970013,0.034473669615066704,0.3118761881650912
60,TrialState.COMPLETE,4.1838167006867504e-05,46.38460066289589,50.0,60.0,500.0,1.0,-12.89089835652441,-2.826825071109921,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,46.38460066289589,9.82791442335093,30.887580632325886,69.41300517186153,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.17317492889007896,0.07076594860970013,0.034473669615066704,0.3118761881650912
61,TrialState.COMPLETE,4.1838167006867504e-05,46.38460066289589,50.0,60.0,500.0,1.0,-12.89089835652441,-2.826825071109921,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,46.38460066289589,9.82791442335093,30.887580632325886,69.41300517186153,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.17317492889007896,0.07076594860970013,0.034473669615066704,0.3118761881650912
90,TrialState.COMPLETE,4.1838167006867504e-05,46.38460066289589,50.0,60.0,500.0,1.0,-12.89089835652441,-2.826825071109921,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,46.38460066289589,9.82791442335093,30.887580632325886,69.41300517186153,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.17317492889007896,0.07076594860970013,0.034473669615066704,0.3118761881650912
91,TrialState.COMPLETE,4.1838167006867504e-05,46.38460066289589,50.0,60.0,500.0,1.0,-12.89089835652441,-2.826825071109921,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,46.38460066289589,9.82791442335093,30.887580632325886,69.41300517186153,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.17317492889007896,0.07076594860970013,0.034473669615066704,0.3118761881650912
4,TrialState.COMPLETE,4.1838167006867504e-05,45.87619852638776,75.0,30.0,500.0,1.0,-12.89089835652441,-2.8059011765792374,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,45.87619852638776,9.712533386174018,30.557592446383573,68.63072332018572,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.19409882342076268,0.07138582059246455,0.054182615059532174,0.3340150317819932
6,TrialState.COMPLETE,4.1838167006867504e-05,45.87619852638776,75.0,30.0,500.0,1.0,-12.89089835652441,-2.8059011765792374,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,45.87619852638776,9.712533386174018,30.557592446383573,68.63072332018572,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.19409882342076268,0.07138582059246455,0.054182615059532174,0.3340150317819932
16,TrialState.COMPLETE,4.1838167006867504e-05,45.87619852638776,75.0,30.0,500.0,1.0,-12.89089835652441,-2.8059011765792374,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,45.87619852638776,9.712533386174018,30.557592446383573,68.63072332018572,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.19409882342076268,0.07138582059246455,0.054182615059532174,0.3340150317819932
21,TrialState.COMPLETE,4.1838167006867504e-05,45.87619852638776,75.0,30.0,500.0,1.0,-12.89089835652441,-2.8059011765792374,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,45.87619852638776,9.712533386174018,30.557592446383573,68.63072332018572,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.19409882342076268,0.07138582059246455,0.054182615059532174,0.3340150317819932
22,TrialState.COMPLETE,4.1838167006867504e-05,45.87619852638776,75.0,30.0,500.0,1.0,-12.89089835652441,-2.8059011765792374,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,45.87619852638776,9.712533386174018,30.557592446383573,68.63072332018572,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.19409882342076268,0.07138582059246455,0.054182615059532174,0.3340150317819932
26,TrialState.COMPLETE,4.1838167006867504e-05,45.87619852638776,75.0,30.0,500.0,1.0,-12.89089835652441,-2.8059011765792374,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,45.87619852638776,9.712533386174018,30.557592446383573,68.63072332018572,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.19409882342076268,0.07138582059246455,0.054182615059532174,0.3340150317819932
89,TrialState.COMPLETE,4.1838167006867504e-05,45.87619852638776,75.0,30.0,500.0,1.0,-12.89089835652441,-2.8059011765792374,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,45.87619852638776,9.712533386174018,30.557592446383573,68.63072332018572,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.19409882342076268,0.07138582059246455,0.054182615059532174,0.3340150317819932
31,TrialState.COMPLETE,4.1838167006867504e-05,45.865731304557606,75.0,120.0,500.0,1.0,-12.89089835652441,-2.722293766025923,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,45.865731304557606,9.720297105080682,30.53840625351528,68.64197090543155,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.27770623397407684,0.07273634517643333,0.13514299742826752,0.42026947051988617
55,TrialState.COMPLETE,4.1838167006867504e-05,45.865731304557606,75.0,120.0,500.0,1.0,-12.89089835652441,-2.722293766025923,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,45.865731304557606,9.720297105080682,30.53840625351528,68.64197090543155,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.27770623397407684,0.07273634517643333,0.13514299742826752,0.42026947051988617
82,TrialState.COMPLETE,4.1838167006867504e-05,45.865731304557606,75.0,120.0,500.0,1.0,-12.89089835652441,-2.722293766025923,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,45.865731304557606,9.720297105080682,30.53840625351528,68.64197090543155,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.27770623397407684,0.07273634517643333,0.13514299742826752,0.42026947051988617
10,TrialState.COMPLETE,4.1838167006867504e-05,40.954004137649555,75.0,90.0,500.0,1.0,-12.89089835652441,-2.738056960780752,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,40.954004137649555,10.721672315014846,24.908296453349717,66.93725192820791,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.2619430392192478,0.07159061812049637,0.12162542770307488,0.40226065073542067
13,TrialState.COMPLETE,4.1838167006867504e-05,40.954004137649555,50.0,30.0,500.0,1.0,-12.89089835652441,-2.8432096212106157,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,40.954004137649555,10.721672315014846,24.908296453349717,66.93725192820791,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.1567903787893842,0.07139085341142351,0.016864306102994137,0.2967164514757743
14,TrialState.COMPLETE,4.1838167006867504e-05,40.954004137649555,50.0,90.0,500.0,1.0,-12.89089835652441,-2.8060035281477083,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,40.954004137649555,10.721672315014846,24.908296453349717,66.93725192820791,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.19399647185229155,0.07285093146411555,0.05120864618262508,0.33678429752195804
43,TrialState.COMPLETE,4.1838167006867504e-05,40.954004137649555,75.0,90.0,500.0,1.0,-12.89089835652441,-2.738056960780752,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,40.954004137649555,10.721672315014846,24.908296453349717,66.93725192820791,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.2619430392192478,0.07159061812049637,0.12162542770307488,0.40226065073542067
44,TrialState.COMPLETE,4.1838167006867504e-05,40.954004137649555,50.0,90.0,500.0,1.0,-12.89089835652441,-2.8060035281477083,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,40.954004137649555,10.721672315014846,24.908296453349717,66.93725192820791,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.19399647185229155,0.07285093146411555,0.05120864618262508,0.33678429752195804
46,TrialState.COMPLETE,4.1838167006867504e-05,40.954004137649555,50.0,30.0,500.0,1.0,-12.89089835652441,-2.8432096212106157,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,40.954004137649555,10.721672315014846,24.908296453349717,66.93725192820791,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.1567903787893842,0.07139085341142351,0.016864306102994137,0.2967164514757743
64,TrialState.COMPLETE,4.1838167006867504e-05,40.954004137649555,75.0,90.0,500.0,1.0,-12.89089835652441,-2.738056960780752,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,40.954004137649555,10.721672315014846,24.908296453349717,66.93725192820791,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.2619430392192478,0.07159061812049637,0.12162542770307488,0.40226065073542067
69,TrialState.COMPLETE,4.1838167006867504e-05,40.954004137649555,50.0,30.0,500.0,1.0,-12.89089835652441,-2.8432096212106157,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,40.954004137649555,10.721672315014846,24.908296453349717,66.93725192820791,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.1567903787893842,0.07139085341142351,0.016864306102994137,0.2967164514757743
70,TrialState.COMPLETE,4.1838167006867504e-05,40.954004137649555,50.0,90.0,500.0,1.0,-12.89089835652441,-2.8060035281477083,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,40.954004137649555,10.721672315014846,24.908296453349717,66.93725192820791,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.19399647185229155,0.07285093146411555,0.05120864618262508,0.33678429752195804
94,TrialState.COMPLETE,4.1838167006867504e-05,40.954004137649555,75.0,90.0,500.0,1.0,-12.89089835652441,-2.738056960780752,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,40.954004137649555,10.721672315014846,24.908296453349717,66.93725192820791,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.2619430392192478,0.07159061812049637,0.12162542770307488,0.40226065073542067
96,TrialState.COMPLETE,4.1838167006867504e-05,40.954004137649555,50.0,90.0,500.0,1.0,-12.89089835652441,-2.8060035281477083,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,40.954004137649555,10.721672315014846,24.908296453349717,66.93725192820791,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.19399647185229155,0.07285093146411555,0.05120864618262508,0.33678429752195804
97,TrialState.COMPLETE,4.1838167006867504e-05,40.954004137649555,50.0,30.0,500.0,1.0,-12.89089835652441,-2.8432096212106157,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,40.954004137649555,10.721672315014846,24.908296453349717,66.93725192820791,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.1567903787893842,0.07139085341142351,0.016864306102994137,0.2967164514757743
17,TrialState.COMPLETE,4.1838167006867504e-05,34.339429240494376,75.0,60.0,500.0,1.0,-12.89089835652441,-2.770897748266705,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,34.339429240494376,7.3296573462020245,22.78175364236087,51.514010439472806,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.22910225173329474,0.07050427523332944,0.09091387227596906,0.36729063119062044
24,TrialState.COMPLETE,4.1838167006867504e-05,34.339429240494376,75.0,60.0,500.0,1.0,-12.89089835652441,-2.770897748266705,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,34.339429240494376,7.3296573462020245,22.78175364236087,51.514010439472806,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.22910225173329474,0.07050427523332944,0.09091387227596906,0.36729063119062044
68,TrialState.COMPLETE,4.1838167006867504e-05,34.339429240494376,75.0,60.0,500.0,1.0,-12.89089835652441,-2.770897748266705,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,34.339429240494376,7.3296573462020245,22.78175364236087,51.514010439472806,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.22910225173329474,0.07050427523332944,0.09091387227596906,0.36729063119062044
84,TrialState.COMPLETE,4.1838167006867504e-05,34.339429240494376,75.0,60.0,500.0,1.0,-12.89089835652441,-2.770897748266705,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,34.339429240494376,7.3296573462020245,22.78175364236087,51.514010439472806,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.22910225173329474,0.07050427523332944,0.09091387227596906,0.36729063119062044
25,TrialState.COMPLETE,4.1838167006867504e-05,34.32720092116913,50.0,120.0,500.0,1.0,-12.89089835652441,-2.7907522643349343,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,34.32720092116913,7.319634039730934,22.782675301927267,51.47564073767253,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.20924773566506577,0.07515188162218056,0.06195004768559184,0.35654542364453967
50,TrialState.COMPLETE,4.1838167006867504e-05,34.32720092116913,50.0,120.0,500.0,1.0,-12.89089835652441,-2.7907522643349343,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,34.32720092116913,7.319634039730934,22.782675301927267,51.47564073767253,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.20924773566506577,0.07515188162218056,0.06195004768559184,0.35654542364453967
76,TrialState.COMPLETE,4.1838167006867504e-05,34.32720092116913,50.0,120.0,500.0,1.0,-12.89089835652441,-2.7907522643349343,True,False,4.1838167006867504e-05,0.004423841415999089,1.0093857128383036e-07,0.01734155928928771,34.32720092116913,7.319634039730934,22.782675301927267,51.47564073767253,17.89089835652441,3290.5347274644996,0.024814807791431432,12898.92094646863,0.20924773566506577,0.07515188162218056,0.06195004768559184,0.35654542364453967
15,TrialState.COMPLETE,6.607710454826559e-05,34.326816433641746,75.0,60.0,25.0,0.0,-1.1484088919368887,-2.8445991291044708,True,False,6.607710454826559e-05,0.00035207350727837843,3.1563887456427634e-06,0.0013832845372768862,34.326816433641746,7.319318579797386,22.782704730498434,51.47443356330419,6.148408891936889,141.3415508274699,0.06822068782977929,554.1270999315118,0.15540087089552937,0.07343843260847348,0.011461542982921347,0.2993401988081374
49,TrialState.COMPLETE,6.607710454826559e-05,34.326816433641746,75.0,60.0,25.0,0.0,-1.1484088919368887,-2.8445991291044708,True,False,6.607710454826559e-05,0.00035207350727837843,3.1563887456427634e-06,0.0013832845372768862,34.326816433641746,7.319318579797386,22.782704730498434,51.47443356330419,6.148408891936889,141.3415508274699,0.06822068782977929,554.1270999315118,0.15540087089552937,0.07343843260847348,0.011461542982921347,0.2993401988081374
67,TrialState.COMPLETE,6.607710454826559e-05,34.326816433641746,75.0,60.0,25.0,0.0,-1.1484088919368887,-2.8445991291044708,True,False,6.607710454826559e-05,0.00035207350727837843,3.1563887456427634e-06,0.0013832845372768862,34.326816433641746,7.319318579797386,22.782704730498434,51.47443356330419,6.148408891936889,141.3415508274699,0.06822068782977929,554.1270999315118,0.15540087089552937,0.07343843260847348,0.011461542982921347,0.2993401988081374
95,TrialState.COMPLETE,6.607710454826559e-05,34.326816433641746,75.0,60.0,25.0,0.0,-1.1484088919368887,-2.8445991291044708,True,False,6.607710454826559e-05,0.00035207350727837843,3.1563887456427634e-06,0.0013832845372768862,34.326816433641746,7.319318579797386,22.782704730498434,51.47443356330419,6.148408891936889,141.3415508274699,0.06822068782977929,554.1270999315118,0.15540087089552937,0.07343843260847348,0.011461542982921347,0.2993401988081374
